x,c1,c2,c3,dc1,dc2,dc3,flux1,flux2,flux3
-0.98,0.6,2.286203682561851e-123,5.388954364801129e-124,-1.5491987420172643e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.97875,0.6,4.5249333526955654e-123,1.0666004751649363e-123,7.895117024877738e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9775,0.6,8.949140638231545e-123,2.109458176078864e-123,1.1575956418249662e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.97625,0.6,1.768569834598573e-122,4.168807093747538e-123,-8.837306142277217e-06,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.975,0.6,3.4924860610597437e-122,8.232358361729575e-123,-2.919731988730066e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.97375,0.6,6.891576671749986e-122,1.6244568438439637e-122,5.344597511362794e-06,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9725,0.6,1.3588571375874802e-121,3.20304754934936e-122,-3.633451989548394e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.97125,0.6,2.6773192395402247e-121,6.310877421787199e-122,2.6922552529279868e-06,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.97,0.6,5.271054705667625e-121,1.242473427887351e-121,-6.489772654681292e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.96875,0.6,1.0369689399798922e-120,2.444304651371174e-121,9.692990386325862e-06,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9675,0.6,2.0384717042793687e-120,4.805009751357841e-121,-3.679490013974465e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.96625,0.6,4.004185562720678e-120,9.438517412200644e-121,-4.869492433304247e-06,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.965,0.6,7.859485672771747e-120,1.8526087567978273e-120,-9.141401302262463e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.96375,0.6,1.5415028618517842e-119,3.633573263437724e-120,5.051733713977151e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9625,0.6,3.021097044653386e-119,7.121217689155834e-120,8.640353776392517e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.96125,0.6,5.91636559771518e-119,1.3945837133740998e-119,-3.0674339598972144e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.96,0.6,1.1577510161352363e-118,2.729007673001216e-119,-7.243864877922209e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.95875,0.6,2.2638363743685134e-118,5.336230977100928e-119,-8.638362398949763e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.9575,0.6,4.423280146183776e-118,1.042639159071093e-118,-4.109045593215049e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.95625,0.6,8.63601250059175e-118,2.0356487750641163e-118,4.739319832371321e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.955,0.6,1.684811572202119e-117,3.971375230098479e-118,8.668959647732487e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
-0.95375,0.6,3.284418759548178e-117,7.741909850424282e-118,-5.286719044721936e-05,-6.4373016357421875e-06,1.571374505101855e-05,0.0,0.0,0.0
